epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,16.2675,0.70286,0.80351,1.16168,0.70962,0.65,0.84669,0.52986,1.58384,1.48851,1.34117,2.82082e-05,2.82082e-05,2.82082e-05
40,16.6629,0.76966,0.97966,1.16867,0.70962,0.65,0.84669,0.52986,1.58384,1.48851,1.34117,2.84911e-05,2.84911e-05,2.84911e-05
41,17.0803,0.76686,1.13891,1.1161,0.6663,0.65175,0.84604,0.53064,1.57186,1.53679,1.33936,2.87504e-05,2.87504e-05,2.87504e-05
42,17.4851,0.95961,1.13234,1.21368,0.6663,0.65175,0.84604,0.53064,1.57186,1.53679,1.33936,2.89861e-05,2.89861e-05,2.89861e-05
43,17.902,0.99771,1.06466,1.46978,0.75769,0.65,0.84672,0.5274,1.55444,1.58894,1.33924,2.91983e-05,2.91983e-05,2.91983e-05
44,18.299,0.69358,0.93794,1.09087,0.75769,0.65,0.84672,0.5274,1.55444,1.58894,1.33924,2.93869e-05,2.93869e-05,2.93869e-05
45,18.7083,0.68583,1.45431,1.11474,0.76895,0.65,0.7146,0.4056,1.57555,1.62105,1.34959,2.9552e-05,2.9552e-05,2.9552e-05
46,19.1138,0.86552,1.04207,1.26534,0.76895,0.65,0.7146,0.4056,1.57555,1.62105,1.34959,2.96935e-05,2.96935e-05,2.96935e-05
47,19.5278,0.88249,0.72627,1.25956,0.79834,0.64514,0.70613,0.38436,1.5697,1.68931,1.35374,2.98114e-05,2.98114e-05,2.98114e-05
48,19.928,0.77927,1.03944,1.14998,0.79834,0.64514,0.70613,0.38436,1.5697,1.68931,1.35374,2.99058e-05,2.99058e-05,2.99058e-05
49,20.3389,1.01388,1.11605,1.38256,0.71052,0.65,0.71224,0.38869,1.5537,1.70533,1.35214,2.99766e-05,2.99766e-05,2.99766e-05
50,20.7455,0.65739,0.86495,1.10414,0.71052,0.65,0.71224,0.38869,1.5537,1.70533,1.35214,3.00238e-05,3.00238e-05,3.00238e-05
51,21.1618,0.69768,0.9025,1.20013,0.70518,0.65,0.68464,0.35767,1.58815,1.80175,1.3637,3.00475e-05,3.00475e-05,3.00475e-05
52,21.5632,0.81092,1.66332,1.1769,0.70518,0.65,0.68464,0.35767,1.58815,1.80175,1.3637,3.00476e-05,3.00476e-05,3.00476e-05
53,21.9604,0.63217,1.02735,1.08295,0.70518,0.65,0.68464,0.35767,1.58815,1.80175,1.3637,3.00242e-05,3.00242e-05,3.00242e-05
54,22.3865,0.72442,0.97393,1.1032,0.7261,0.65,0.68498,0.36097,1.61715,1.88128,1.37762,2.99772e-05,2.99772e-05,2.99772e-05
55,22.8525,0.68654,1.17778,1.16177,0.7261,0.65,0.68498,0.36097,1.61715,1.88128,1.37762,2.99066e-05,2.99066e-05,2.99066e-05
56,23.2551,0.68924,0.84685,1.2362,0.7261,0.65,0.68498,0.36097,1.61715,1.88128,1.37762,2.98125e-05,2.98125e-05,2.98125e-05
57,23.6729,0.73069,0.70902,1.20835,0.76101,0.48333,0.68859,0.36527,1.6174,1.89588,1.38086,2.96948e-05,2.96948e-05,2.96948e-05
58,24.0805,0.79721,1.05027,1.19563,0.76101,0.48333,0.68859,0.36527,1.6174,1.89588,1.38086,2.95535e-05,2.95535e-05,2.95535e-05
59,24.4869,0.71201,0.7343,1.22584,0.76101,0.48333,0.68859,0.36527,1.6174,1.89588,1.38086,2.93887e-05,2.93887e-05,2.93887e-05
60,24.9235,0.78591,1.01425,1.31628,0.7521,0.48333,0.68597,0.36069,1.62555,1.92374,1.38807,2.92003e-05,2.92003e-05,2.92003e-05
61,25.338,0.58492,0.67125,1.05692,0.7521,0.48333,0.68597,0.36069,1.62555,1.92374,1.38807,2.89884e-05,2.89884e-05,2.89884e-05
62,25.7629,0.74331,0.98395,1.29427,0.7521,0.48333,0.68597,0.36069,1.62555,1.92374,1.38807,2.87529e-05,2.87529e-05,2.87529e-05
63,26.1684,0.68423,0.84314,1.17088,0.76904,0.48333,0.56109,0.27024,1.62251,1.94896,1.3863,2.84938e-05,2.84938e-05,2.84938e-05
64,26.5622,0.74987,0.72753,1.06123,0.76904,0.48333,0.56109,0.27024,1.62251,1.94896,1.3863,2.82112e-05,2.82112e-05,2.82112e-05
